	TARA_100_MES_0.22_3.0	TARA_102_MES_0.22_3.0	TARA_109_MES_0.22_3.0	TARA_110_MES_0.22_3.0	TARA_111_MES_0.22_3.0	TARA_112_MES_0.22_3.0	TARA_122_MES_0.22_3.0	TARA_132_MES_0.22_3.0	TARA_133_MES_0.22_3.0	TARA_137_MES_0.22_3.0	TARA_138_MES_0.22_3.0	TARA_142_MES_0.22_3.0	TARA_145_MES_0.22_3.0	TARA_146_MES_0.22_3.0	TARA_148_MES_0.22_3.0	TARA_149_MES_0.22_3.0	TARA_152_MES_0.22_3.0	TARA_056_MES_0.22_3.0	TARA_064_MES_0.22_3.0	TARA_065_MES_0.22_3.0	TARA_068_MES_0.22_3.0	TARA_070_MES_0.22_3.0	TARA_072_MES_0.22_3.0	TARA_076_MES_0.22_3.0	TARA_078_MES_0.22_3.0	TARA_085_MES_0.22_3.0	TARA_098_MES_0.22_3.0
DQ889937.1.1502	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
EU799714.1.1482	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
EU799815.1.1292	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GQ347460.1.1384	0	1	3	1	7	1	0	0	0	2	0	3	1	1	2	1	0	0	0	1	1	0	1	0	0	0	1
JN606913.1.1376	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AM945665.1.1334	0	0	1	2	1	2	0	0	0	1	9	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
GQ246711.1.1430	0	0	0	0	0	1	2	2	0	0	0	0	3	2	1	0	1	20	3	10	0	0	0	1	0	0	0
GU559782.1.1351	1	0	0	0	0	1	7	1	1	0	0	2	7	3	1	0	1	8	0	4	0	0	1	5	4	0	1
AY664174.1.1223	0	0	4	1	0	6	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0
DQ423477.1.1450	0	0	1	0	0	2	1	1	0	1	0	1	0	1	1	3	1	2	0	2	0	0	0	2	1	0	0
EU237445.1.1361	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GQ377760.1.1201	1	3	1	0	1	1	0	1	0	1	1	2	0	0	0	0	0	0	1	0	1	10	2	0	0	0	0
DQ009469.1.2296	0	3	0	0	3	0	2	1	2	0	2	0	9	0	0	0	0	0	0	0	3	0	0	0	2	5	1
HQ216283.1.1244	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JN625628.1.1354	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GU584396.1.1438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HQ674338.1.1510	0	2	1	0	0	3	2	1	0	0	0	4	4	0	0	1	0	1	1	3	3	5	0	5	2	4	2
JN976344.1.1459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	32	0
JQ223776.1.1343	0	0	0	2	2	0	2	2	7	0	0	1	3	2	1	1	0	1	0	0	3	1	0	1	0	0	0
AB457053.1.1519	1	0	0	0	0	0	1	0	1	1	1	16	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0
GQ350415.1.1377	1	2	4	0	0	0	0	1	8	1	2	1	7	5	0	1	0	0	0	0	7	0	0	0	0	2	0
GQ348030.1.1362	3	2	3	1	2	4	4	0	3	1	1	1	0	0	0	2	3	3	4	0	1	1	2	0	3	1	3
DQ009080.1.1919	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ396311.1.1504	0	1	1	1	1	1	3	1	0	0	0	4	4	0	0	1	2	4	2	2	0	0	0	2	1	0	1
FJ901075.1.1309	3	1	1	1	0	1	0	3	0	1	0	4	0	0	0	1	1	0	0	0	1	4	0	3	1	0	1
FO082259.57687.59187	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ671828.1.1447	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
GQ347737.1.1378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
JQ678376.1.1527	2	0	0	0	1	0	0	1	0	2	1	0	1	0	0	3	0	1	0	1	2	0	0	0	0	0	0
AM403208.1.1268	0	0	0	0	0	1	3	0	0	4	0	1	0	0	2	2	2	7	1	1	0	0	2	2	0	0	0
AY726937.1.1240	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HQ672740.1.1510	2	1	0	1	0	0	1	2	3	0	0	0	1	0	3	2	0	1	0	0	1	0	0	0	0	1	2
EU799828.1.1455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FJ615148.1.1416	2	0	0	2	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GQ337167.1.1526	0	1	0	1	2	2	0	1	1	1	4	0	4	0	1	1	1	3	2	2	1	1	0	0	1	1	0
