	TARA_100_DCM_0.22_3.0	TARA_102_DCM_0.22_3.0	TARA_109_DCM_0.22_3.0	TARA_110_DCM_0.22_3.0	TARA_111_DCM_0.22_3.0	TARA_112_DCM_0.22_3.0	TARA_122_DCM_0.22_3.0	TARA_128_DCM_0.22_3.0	TARA_132_DCM_0.22_3.0	TARA_133_DCM_0.22_3.0	TARA_137_DCM_0.22_3.0	TARA_138_DCM_0.22_3.0	TARA_142_DCM_0.22_3.0	TARA_150_DCM_0.22_3.0	TARA_151_DCM_0.22_3.0	TARA_058_DCM_0.22_3.0	TARA_064_DCM_0.22_3.0	TARA_065_DCM_0.22_3.0	TARA_066_DCM_0.22_3.0	TARA_068_DCM_0.22_3.0	TARA_072_DCM_0.22_3.0	TARA_076_DCM_0.22_3.0	TARA_078_DCM_0.22_3.0	TARA_082_DCM_0.22_3.0	TARA_085_DCM_0.22_3.0	TARA_093_DCM_0.22_3.0	TARA_098_DCM_0.22_3.0
GU235638.1.1322	12	18	16	7	10	5	6	13	12	16	5	12	13	24	18	23	11	10	36	10	16	4	15	41	56	10	6
GU940748.1.1341	7	23	17	23	15	7	13	18	8	7	1	9	17	15	13	33	14	21	14	6	11	12	10	5	7	9	5
EU800201.1.1303	24	24	29	22	17	7	13	23	7	9	0	13	11	18	15	22	14	14	28	11	9	4	11	0	1	11	11
EU237468.1.1312	20	23	20	15	18	8	8	19	9	9	0	9	15	21	14	9	13	17	21	17	10	13	14	0	1	9	9
EU686640.25381.26914	1	0	0	0	0	0	0	1	5	0	0	1	0	0	2	0	0	1	2	2	1	0	0	0	0	0	0
AY664073.1.1228	9	15	19	18	9	8	13	12	7	8	3	6	14	19	10	20	8	22	14	17	14	8	15	17	22	13	8
EU802984.1.1440	23	18	13	15	16	16	17	19	15	4	0	18	13	22	20	27	20	17	20	11	23	14	11	1	1	1	15
EU686618.3359.4826	1	0	0	0	3	2	45	5	4	0	1	1	7	0	21	1	1	4	1	0	11	13	6	0	0	0	5
EU803186.1.1437	5	4	23	8	7	21	4	24	4	4	0	4	19	16	4	30	23	7	3	17	8	13	11	0	0	0	16
GU940773.1.1334	12	28	40	62	16	51	18	35	47	35	0	68	11	24	49	22	12	12	24	106	5	15	67	0	0	0	9
AY664012.1.1253	1	8	4	2	0	0	0	0	0	12	2	0	28	12	7	10	30	57	5	25	0	2	4	0	0	8	0
AACY020207233.1273.2814	4	12	17	21	13	16	7	20	14	10	0	25	24	10	9	16	13	11	4	2	26	40	6	0	0	0	20
AY033322.1.1446	1	0	0	0	8	10	11	1	1	0	155	3	6	3	1	3	4	5	1	1	6	3	2	0	0	0	22
AY907820.1.1458	2	5	0	4	37	59	64	3	16	16	1	23	38	5	7	10	35	49	20	5	52	23	12	0	0	0	42
HQ242620.1.1275	19	18	9	7	20	12	18	9	15	10	6	10	19	16	25	15	20	9	15	11	9	5	11	7	3	8	20
GU145455.1.1523	1	0	0	0	1	0	0	0	0	0	372	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1
AACY023938218.20.1535	5	9	5	9	26	43	34	8	15	6	0	3	33	17	16	15	37	48	20	7	63	63	46	0	0	0	40
DQ009277.1.1996	23	50	10	12	17	0	1	1	3	73	0	5	0	18	33	0	1	1	48	12	1	2	21	0	0	44	6
HQ674365.1.1523	0	0	0	0	0	0	0	0	0	0	109	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DQ009159.1.1986	18	21	14	19	13	9	13	25	80	33	4	54	3	3	16	6	6	7	43	5	25	2	6	0	0	2	7
EU803056.1.1370	12	21	10	16	15	14	4	8	7	11	2	12	8	30	19	20	19	11	16	11	15	4	7	0	1	10	10
DQ156479.1.1258	15	8	9	19	50	27	9	21	83	72	1	30	24	23	23	16	18	15	15	10	6	23	28	0	0	0	17
EU802498.1.1435	6	5	9	1	7	8	6	2	2	0	0	4	15	7	1	56	21	6	1	18	8	14	20	0	0	0	12
EU801193.1.1360	17	37	25	23	13	8	10	12	8	34	0	14	8	14	12	22	14	9	12	18	4	4	8	4	1	18	9
U65908.1.1509	1	0	0	3	35	42	14	2	35	0	20	10	1	6	42	2	0	19	1	7	4	15	24	0	0	0	42
AB461943.1.1310	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
JN563820.1.1535	59	4	5	95	0	3	19	30	0	28	8	2	0	139	0	2	0	2	0	24	23	87	1	3	0	4	2
FJ744817.1.1308	12	27	12	14	12	4	6	8	9	29	0	10	9	11	21	7	20	18	21	10	11	2	21	21	8	25	7
EU800402.1.1485	12	15	27	20	11	9	9	21	1	1	0	9	19	13	16	31	25	18	5	3	14	7	13	0	0	1	6
EU802844.1.1359	8	14	16	4	17	9	8	14	3	15	0	9	12	15	28	26	14	20	13	13	7	9	18	7	1	12	7
EF572384.1.1486	4	6	19	37	6	6	1	41	4	2	0	8	37	7	12	15	19	24	9	4	5	9	8	0	0	0	7
FJ744908.1.1331	11	28	24	11	9	2	4	5	7	34	2	11	8	13	18	11	8	9	40	11	9	2	14	19	28	21	1
EU802480.1.1262	15	5	7	6	14	14	19	14	17	6	14	22	25	21	17	16	14	16	17	15	21	9	14	0	1	2	13
EF571926.1.1454	11	3	4	8	9	15	2	11	4	4	0	13	26	22	7	36	23	22	10	3	16	13	7	0	0	1	22
AY726843.1.1232	52	23	20	16	4	17	58	12	0	4	9	21	3	20	0	4	3	7	1	21	12	56	0	9	0	4	2
JX017005.1.1403	3	24	16	16	9	4	7	14	5	24	0	7	10	12	15	12	10	13	21	6	10	4	13	8	3	27	7
EF574119.1.1500	11	10	21	40	9	3	2	32	13	7	0	10	11	14	29	13	15	25	17	3	4	5	8	0	0	0	4
EU800666.1.1372	12	19	20	28	14	8	8	13	2	32	0	13	7	17	18	22	8	13	18	15	14	0	19	4	0	15	6
JN547476.1.1428	29	8	9	12	22	16	22	15	18	3	19	26	21	17	15	16	24	14	16	22	24	7	19	1	0	4	24
EU802532.1.1252	11	12	5	11	7	11	6	12	4	35	3	7	4	10	13	17	10	12	10	3	6	4	5	16	12	14	5
AY663941.1.1275	1	8	1	1	0	0	0	0	1	11	0	0	10	7	0	16	32	49	3	17	1	3	3	0	0	9	0
EU802391.1.1436	9	5	13	9	12	26	4	21	4	1	0	8	11	12	3	26	24	3	1	13	10	19	6	0	0	0	20
AACY020068177.376.1853	11	9	8	8	29	33	13	4	14	8	0	9	17	2	7	18	17	13	6	4	14	23	8	0	0	0	29
EF574484.1.1444	0	0	1	1	1	5	0	2	2	1	1	1	15	4	1	9	28	52	0	15	0	7	2	3	0	0	4
EU802942.1.1496	17	5	29	25	11	10	8	31	2	1	1	3	9	3	0	14	23	8	9	4	9	6	6	0	0	0	7
GU940897.1.1343	10	5	17	7	13	8	9	13	9	4	9	9	10	5	12	26	14	30	11	10	11	12	13	0	0	2	18
EU804864.1.1440	9	6	14	2	7	29	7	20	6	2	0	4	10	0	0	26	22	3	0	2	3	10	11	0	0	0	22
GU235451.1.1318	10	19	15	11	11	11	6	5	8	27	2	12	11	15	21	8	12	17	24	11	9	5	12	20	17	9	10
GU234848.1.1327	4	17	10	10	4	3	3	5	4	23	1	9	5	21	9	12	10	17	11	7	5	4	4	41	46	12	4
EU802460.1.1406	15	5	14	5	14	29	12	16	8	2	4	10	14	6	3	30	19	6	4	10	11	16	13	0	0	0	24
AB193918.1.1524	0	0	0	0	0	0	1	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU802960.1.1455	10	17	22	16	19	11	7	21	6	4	1	2	17	13	14	15	21	23	6	3	5	6	15	0	0	0	10
EF572587.1.1496	13	26	31	15	12	5	4	41	4	14	0	3	9	5	3	4	9	5	10	12	14	3	4	0	0	22	7
AF382127.1.1491	0	0	0	7	0	9	12	1	5	0	6	10	0	6	13	0	0	7	0	8	4	19	0	1	0	0	0
DQ156348.18592.20063	9	1	0	10	12	15	21	16	29	0	0	32	73	14	15	8	41	51	1	2	20	99	33	0	0	0	27
AM747314.1.1270	8	12	5	12	8	10	8	12	5	16	4	5	11	8	22	17	10	15	18	4	4	7	11	10	2	8	5
EU802700.1.1447	6	9	14	8	17	20	10	26	8	4	0	6	7	7	7	35	32	5	2	6	11	15	8	0	0	0	14
AY664015.1.1220	11	19	16	9	6	4	5	17	8	8	1	13	11	13	16	12	14	14	19	13	9	3	6	7	7	7	3
FJ745032.1.1322	12	22	19	22	6	3	2	8	12	32	2	12	11	13	16	18	10	9	18	15	6	2	9	0	0	19	8
EU686616.36653.38121	14	3	15	39	18	14	12	20	22	3	43	33	32	2	9	15	22	22	6	7	7	38	5	0	0	0	11
EU802971.1.1498	17	9	36	15	14	8	7	27	2	10	0	8	15	6	10	15	8	21	10	8	9	7	6	1	0	0	9
EF572892.1.1439	17	9	14	7	27	14	13	13	12	0	2	6	17	16	9	26	25	13	11	9	18	19	14	0	0	0	12
EF574241.1.1490	11	3	17	17	21	9	6	26	7	2	0	2	18	5	2	12	16	27	2	4	13	1	7	0	0	3	8
EU802980.1.1373	12	7	14	8	21	5	5	14	12	17	3	19	9	8	16	24	8	14	7	11	12	8	6	3	2	4	12
